state,date,staffed_pediatric_icu_bed_occupancy,total_staffed_pediatric_icu_beds,pediatric_icu_occupancy_percent
TX,2021-03-12,253.0,355.0,71.27
SD,2020-12-23,33.0,83.0,39.76
NY,2020-12-06,936.0,1400.0,66.86
OH,2021-05-21,132.0,370.0,35.68
AZ,2021-03-16,169.0,275.0,61.45
MN,2021-06-13,384.0,503.0,76.34
OH,2021-02-10,145.0,370.0,39.19
PR,2021-02-16,7.0,15.0,46.67
LA,2021-04-22,7.0,11.0,63.64
IN,2021-05-24,10.0,19.0,52.63
ME,2020-12-04,56.0,64.0,87.5
SC,2020-11-12,328.0,448.0,73.21
VA,2021-05-25,290.0,472.0,61.44
DC,2021-05-03,4.0,7.0,57.14
LA,2021-05-03,2.0,11.0,18.18
OR,2021-01-18,64.0,108.0,59.26
CA,2021-03-21,2106.0,3625.0,58.1
MN,2021-04-19,361.0,471.0,76.65
HI,2021-03-30,67.0,94.0,71.28
SD,2021-03-24,32.0,83.0,38.55
MS,2020-12-13,77.0,182.0,42.31
WI,2021-04-14,82.0,129.0,63.57
WV,2020-12-16,98.0,153.0,64.05
FL,2021-06-01,1041.0,1595.0,65.27
ME,2021-04-01,53.0,60.0,88.33
LA,2021-02-25,1.0,11.0,9.09
AZ,2021-03-23,182.0,289.0,62.98
AK,2021-05-02,53.0,66.0,80.3
